#           k/h    P           
   0.127953E+00   0.415782E+04
   0.128870E+00   0.412412E+04
   0.129786E+00   0.408986E+04
   0.130702E+00   0.405625E+04
   0.131618E+00   0.402237E+04
   0.132535E+00   0.398769E+04
   0.133451E+00   0.395292E+04
   0.134367E+00   0.391790E+04
   0.135283E+00   0.388246E+04
   0.136200E+00   0.384718E+04
   0.137116E+00   0.381196E+04
   0.138032E+00   0.377583E+04
   0.138948E+00   0.373938E+04
   0.139865E+00   0.370408E+04
   0.140781E+00   0.366872E+04
   0.141697E+00   0.363286E+04
   0.142614E+00   0.359714E+04
   0.143530E+00   0.356177E+04
   0.144446E+00   0.352649E+04
   0.145362E+00   0.349142E+04
   0.146279E+00   0.345710E+04
   0.147195E+00   0.342288E+04
   0.148111E+00   0.338880E+04
   0.149027E+00   0.335531E+04
   0.149944E+00   0.332263E+04
   0.150860E+00   0.329041E+04
   0.151776E+00   0.325854E+04
   0.152692E+00   0.322725E+04
   0.153609E+00   0.319668E+04
   0.154525E+00   0.316680E+04
   0.155441E+00   0.313751E+04
   0.156357E+00   0.310866E+04
   0.157274E+00   0.308066E+04
   0.158190E+00   0.305366E+04
   0.159106E+00   0.302741E+04
   0.160022E+00   0.300114E+04
   0.160939E+00   0.297564E+04
   0.161855E+00   0.295111E+04
   0.162771E+00   0.292749E+04
   0.163687E+00   0.290405E+04
   0.164604E+00   0.288146E+04
   0.165520E+00   0.285965E+04
   0.166436E+00   0.283840E+04
   0.167353E+00   0.281706E+04
   0.168269E+00   0.279668E+04
   0.169185E+00   0.277736E+04
   0.170101E+00   0.275871E+04
   0.171018E+00   0.273955E+04
   0.171934E+00   0.272079E+04
   0.172850E+00   0.270271E+04
   0.173766E+00   0.268547E+04
   0.174683E+00   0.266837E+04
   0.175599E+00   0.265148E+04
   0.176515E+00   0.263499E+04
   0.177431E+00   0.261888E+04
   0.178348E+00   0.260296E+04
   0.179264E+00   0.258711E+04
   0.180180E+00   0.257158E+04
   0.181096E+00   0.255632E+04
   0.182013E+00   0.254126E+04
   0.182929E+00   0.252626E+04
   0.183845E+00   0.251136E+04
   0.184761E+00   0.249656E+04
   0.185678E+00   0.248186E+04
   0.186594E+00   0.246728E+04
   0.187510E+00   0.245282E+04
   0.188426E+00   0.243828E+04
   0.189343E+00   0.242373E+04
   0.190259E+00   0.240926E+04
   0.191175E+00   0.239519E+04
   0.192092E+00   0.238109E+04
   0.193008E+00   0.236662E+04
